CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,AvgIncome,Measurement_Type,Measurement_Value
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,3035.0,35.8817747823645,MonthsOnBookCategory,high
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,15433.0,35.8817747823645,MonthsOnBookCategory,high
715190283,Existing Customer,57,F,1,Graduate,Not specified,$40K - $60K,Blue,49,3672.0,35.8731843575419,MonthsOnBookCategory,high
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,7882.0,35.75359712230216,MonthsOnBookCategory,high
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,32426.0,36.074267100977195,MonthsOnBookCategory,high
758551608,Existing Customer,51,M,2,Not specified,Married,$40K - $60K,Blue,44,6205.0,35.8731843575419,MonthsOnBookCategory,high
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,17304.0,35.8731843575419,MonthsOnBookCategory,high
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,3906.0,35.59700427960057,MonthsOnBookCategory,high
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,9830.0,35.75359712230216,MonthsOnBookCategory,high
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,34516.0,36.074267100977195,MonthsOnBookCategory,high
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,2283.0,35.59700427960057,MonthsOnBookCategory,high
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,2548.0,35.8731843575419,MonthsOnBookCategory,high
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,19458.0,36.074267100977195,MonthsOnBookCategory,high
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,4745.0,36.074267100977195,MonthsOnBookCategory,high
720756708,Existing Customer,52,F,3,Not specified,Married,Less than $40K,Blue,41,2622.0,35.8817747823645,MonthsOnBookCategory,high
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,1438.3,35.8817747823645,MonthsOnBookCategory,high
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3171.0,35.8817747823645,MonthsOnBookCategory,high
712813458,Existing Customer,49,M,2,Not specified,Married,$120K +,Blue,36,19763.0,36.89133425034388,MonthsOnBookCategory,high
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,15769.0,36.89133425034388,MonthsOnBookCategory,high
717891558,Existing Customer,49,F,4,Graduate,Not specified,Less than $40K,Blue,36,3298.0,35.8817747823645,MonthsOnBookCategory,high
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2802.0,35.8817747823645,MonthsOnBookCategory,high
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4458.0,35.8731843575419,MonthsOnBookCategory,high
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,6273.0,35.75359712230216,MonthsOnBookCategory,high
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,3336.0,35.59700427960057,MonthsOnBookCategory,high
787584108,Existing Customer,55,M,3,Not specified,Married,$80K - $120K,Blue,47,3436.0,36.074267100977195,MonthsOnBookCategory,high
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,34516.0,35.59700427960057,MonthsOnBookCategory,high
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5926.0,35.59700427960057,MonthsOnBookCategory,high
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,23957.0,36.89133425034388,MonthsOnBookCategory,high
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,14734.0,36.89133425034388,MonthsOnBookCategory,high
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,34516.0,36.074267100977195,MonthsOnBookCategory,high
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,6584.0,35.59700427960057,MonthsOnBookCategory,high
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,2084.0,35.8817747823645,MonthsOnBookCategory,medium
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,1687.0,35.59700427960057,MonthsOnBookCategory,high
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,25300.0,36.074267100977195,MonthsOnBookCategory,high
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,34516.0,36.89133425034388,MonthsOnBookCategory,high
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,2216.0,35.8817747823645,MonthsOnBookCategory,high
719580033,Existing Customer,54,M,1,Graduate,Not specified,$60K - $80K,Blue,43,2910.0,35.59700427960057,MonthsOnBookCategory,high
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,22913.0,36.074267100977195,MonthsOnBookCategory,high
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,24312.0,35.59700427960057,MonthsOnBookCategory,high
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5272.0,36.074267100977195,MonthsOnBookCategory,high
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,7000.0,35.8817747823645,MonthsOnBookCategory,high
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,7038.0,35.8817747823645,MonthsOnBookCategory,high
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,2536.0,35.59700427960057,MonthsOnBookCategory,high
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,28904.0,36.074267100977195,MonthsOnBookCategory,high
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,8567.0,35.59700427960057,MonthsOnBookCategory,high
715156383,Existing Customer,44,M,1,Not specified,Not specified,$120K +,Blue,36,34516.0,36.89133425034388,MonthsOnBookCategory,high
711013983,Attrited Customer,55,F,4,Not specified,Married,$40K - $60K,Blue,45,2158.0,35.8731843575419,MonthsOnBookCategory,high
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,10133.0,35.75359712230216,MonthsOnBookCategory,high
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,34516.0,36.074267100977195,MonthsOnBookCategory,high
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,3085.0,35.59700427960057,MonthsOnBookCategory,high
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,19040.0,36.89133425034388,MonthsOnBookCategory,high
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,4026.0,35.8817747823645,MonthsOnBookCategory,high
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,12756.0,35.59700427960057,MonthsOnBookCategory,high
778992108,Existing Customer,57,M,2,Not specified,Married,$120K +,Blue,45,5266.0,36.89133425034388,MonthsOnBookCategory,high
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,9930.0,35.8817747823645,MonthsOnBookCategory,high
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,31302.0,36.074267100977195,MonthsOnBookCategory,high
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,6576.0,35.8731843575419,MonthsOnBookCategory,high
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,2664.0,36.074267100977195,MonthsOnBookCategory,high
715550508,Existing Customer,45,F,3,Not specified,Married,Unknown,Blue,28,2535.0,35.75359712230216,MonthsOnBookCategory,high
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,1709.0,35.8817747823645,MonthsOnBookCategory,high
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,3454.0,35.8731843575419,MonthsOnBookCategory,high
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,3789.0,35.8731843575419,MonthsOnBookCategory,high
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,9689.0,36.89133425034388,MonthsOnBookCategory,high
711887583,Attrited Customer,47,M,2,Not specified,Married,$80K - $120K,Blue,37,5449.0,36.074267100977195,MonthsOnBookCategory,high
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,23032.0,35.75359712230216,MonthsOnBookCategory,high
713843283,Existing Customer,41,F,3,Not specified,Married,Unknown,Silver,34,34516.0,35.75359712230216,MonthsOnBookCategory,high
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,2940.0,36.89133425034388,MonthsOnBookCategory,high
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3031.0,35.8817747823645,MonthsOnBookCategory,high
713572683,Existing Customer,44,M,3,High School,Not specified,$60K - $80K,Blue,25,1862.0,35.59700427960057,MonthsOnBookCategory,high
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,8358.0,35.8817747823645,MonthsOnBookCategory,high
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,34516.0,36.89133425034388,MonthsOnBookCategory,high
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,14450.0,35.59700427960057,MonthsOnBookCategory,high
808284783,Existing Customer,62,F,1,Not specified,Married,Less than $40K,Blue,56,1438.3,35.8817747823645,MonthsOnBookCategory,high
708476808,Existing Customer,54,M,4,Not specified,Divorced,$120K +,Blue,36,33791.0,36.89133425034388,MonthsOnBookCategory,high
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,8466.0,35.59700427960057,MonthsOnBookCategory,high
708492558,Existing Customer,42,M,3,Not specified,Married,$60K - $80K,Blue,36,15088.0,35.59700427960057,MonthsOnBookCategory,high
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,3263.0,35.59700427960057,MonthsOnBookCategory,high
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,1494.0,35.8817747823645,MonthsOnBookCategory,high
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,13551.0,36.074267100977195,MonthsOnBookCategory,high
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,18886.0,36.074267100977195,MonthsOnBookCategory,high
826762908,Existing Customer,52,M,3,High School,Not specified,$80K - $120K,Blue,48,11976.0,36.074267100977195,MonthsOnBookCategory,high
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,9964.0,36.074267100977195,MonthsOnBookCategory,high
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,24159.0,35.59700427960057,MonthsOnBookCategory,high
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,5362.0,35.8817747823645,MonthsOnBookCategory,high
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,34516.0,36.89133425034388,MonthsOnBookCategory,high
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,3174.0,35.8817747823645,MonthsOnBookCategory,high
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,12262.0,36.074267100977195,MonthsOnBookCategory,high
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,3788.0,35.8731843575419,MonthsOnBookCategory,high
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,34516.0,36.89133425034388,MonthsOnBookCategory,high
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,2926.0,35.59700427960057,MonthsOnBookCategory,high
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,32090.0,36.89133425034388,MonthsOnBookCategory,high
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,11669.0,36.074267100977195,MonthsOnBookCategory,high
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,13532.0,35.8731843575419,MonthsOnBookCategory,high
710806083,Existing Customer,50,F,1,Uneducated,Not specified,Less than $40K,Silver,36,11888.0,35.8817747823645,MonthsOnBookCategory,high
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,2393.0,35.8817747823645,MonthsOnBookCategory,high
822063408,Existing Customer,43,M,4,Not specified,Married,$40K - $60K,Blue,39,6111.0,35.8731843575419,MonthsOnBookCategory,high
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,19270.0,36.074267100977195,MonthsOnBookCategory,high
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3710.0,36.074267100977195,MonthsOnBookCategory,high
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,3235.0,35.8817747823645,MonthsOnBookCategory,high
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,11749.0,35.8731843575419,MonthsOnBookCategory,high
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,7753.0,35.59700427960057,MonthsOnBookCategory,high
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,10408.0,35.59700427960057,MonthsOnBookCategory,high
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,3967.0,35.75359712230216,MonthsOnBookCategory,high
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,6205.0,35.8817747823645,MonthsOnBookCategory,high
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,8025.0,35.8817747823645,MonthsOnBookCategory,high
789968058,Existing Customer,51,M,1,Not specified,Single,$120K +,Blue,42,9036.0,36.89133425034388,MonthsOnBookCategory,high
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,14926.0,36.074267100977195,MonthsOnBookCategory,high
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,6335.0,35.8817747823645,MonthsOnBookCategory,high
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,14979.0,35.59700427960057,MonthsOnBookCategory,high
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,2732.0,35.8817747823645,MonthsOnBookCategory,high
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,2250.0,35.8817747823645,MonthsOnBookCategory,high
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,10916.0,36.89133425034388,MonthsOnBookCategory,high
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,5349.0,35.75359712230216,MonthsOnBookCategory,high
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,9366.0,36.074267100977195,MonthsOnBookCategory,medium
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,21617.0,36.074267100977195,MonthsOnBookCategory,high
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,13860.0,35.75359712230216,MonthsOnBookCategory,high
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,18386.0,35.8731843575419,MonthsOnBookCategory,high
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,2405.0,35.59700427960057,MonthsOnBookCategory,high
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,2154.0,35.8817747823645,MonthsOnBookCategory,high
713786508,Existing Customer,42,F,5,Not specified,Married,$40K - $60K,Blue,36,2038.0,35.8731843575419,MonthsOnBookCategory,high
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,8135.0,35.8731843575419,MonthsOnBookCategory,high
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,9364.0,36.89133425034388,MonthsOnBookCategory,high
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,32643.0,35.75359712230216,MonthsOnBookCategory,high
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,3195.0,35.8817747823645,MonthsOnBookCategory,high
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,2852.0,36.074267100977195,MonthsOnBookCategory,high
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,4224.0,35.75359712230216,MonthsOnBookCategory,high
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,20459.0,35.59700427960057,MonthsOnBookCategory,high
714791208,Existing Customer,47,F,4,Not specified,Divorced,Less than $40K,Blue,41,3482.0,35.8817747823645,MonthsOnBookCategory,high
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,3065.0,35.8731843575419,MonthsOnBookCategory,high
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,2185.0,35.8817747823645,MonthsOnBookCategory,high
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,1611.0,35.8817747823645,MonthsOnBookCategory,high
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,2822.0,35.8817747823645,MonthsOnBookCategory,high
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,32975.0,36.074267100977195,MonthsOnBookCategory,high
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,1438.3,35.59700427960057,MonthsOnBookCategory,high
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,15875.0,35.75359712230216,MonthsOnBookCategory,high
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6703.0,35.8817747823645,MonthsOnBookCategory,high
708953883,Attrited Customer,53,M,2,Not specified,Married,$80K - $120K,Blue,36,3212.0,36.074267100977195,MonthsOnBookCategory,high
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,34516.0,36.074267100977195,MonthsOnBookCategory,high
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,9797.0,35.8731843575419,MonthsOnBookCategory,high
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,10400.0,35.8731843575419,MonthsOnBookCategory,high
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,26792.0,36.074267100977195,MonthsOnBookCategory,high
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,3006.0,35.8817747823645,MonthsOnBookCategory,high
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,19482.0,35.8731843575419,MonthsOnBookCategory,high
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,3356.0,35.8731843575419,MonthsOnBookCategory,high
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,5771.0,35.8731843575419,MonthsOnBookCategory,high
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,11106.0,36.074267100977195,MonthsOnBookCategory,high
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,2890.0,35.8817747823645,MonthsOnBookCategory,high
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,3380.0,35.59700427960057,MonthsOnBookCategory,high
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,21331.0,35.59700427960057,MonthsOnBookCategory,high
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,12860.0,35.75359712230216,MonthsOnBookCategory,high
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,6278.0,36.074267100977195,MonthsOnBookCategory,high
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,1438.3,35.8817747823645,MonthsOnBookCategory,high
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,9355.0,35.8817747823645,MonthsOnBookCategory,high
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,20758.0,35.75359712230216,MonthsOnBookCategory,high
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,14612.0,36.074267100977195,MonthsOnBookCategory,high
717912483,Existing Customer,43,M,4,Graduate,Not specified,$80K - $120K,Blue,27,27259.0,36.074267100977195,MonthsOnBookCategory,high
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,6347.0,35.8817747823645,MonthsOnBookCategory,high
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,21592.0,36.89133425034388,MonthsOnBookCategory,high
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,3449.0,35.8817747823645,MonthsOnBookCategory,high
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,6028.0,35.8817747823645,MonthsOnBookCategory,high
715872333,Existing Customer,41,M,0,High School,Not specified,$120K +,Blue,36,18214.0,36.89133425034388,MonthsOnBookCategory,high
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,16393.0,36.074267100977195,MonthsOnBookCategory,high
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1438.3,35.8817747823645,MonthsOnBookCategory,high
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,7871.0,35.59700427960057,MonthsOnBookCategory,high
720707283,Existing Customer,48,M,4,Not specified,Married,$80K - $120K,Blue,36,5288.0,36.074267100977195,MonthsOnBookCategory,high
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,11376.0,35.59700427960057,MonthsOnBookCategory,high
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,12302.0,36.074267100977195,MonthsOnBookCategory,high
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,34516.0,35.59700427960057,MonthsOnBookCategory,high
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,34516.0,35.59700427960057,MonthsOnBookCategory,high
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,10514.0,35.8817747823645,MonthsOnBookCategory,high
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,1438.3,35.8817747823645,MonthsOnBookCategory,high
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,1438.3,35.59700427960057,MonthsOnBookCategory,high
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2619.0,35.8731843575419,MonthsOnBookCategory,high
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,24407.0,36.89133425034388,MonthsOnBookCategory,high
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,2377.0,35.8817747823645,MonthsOnBookCategory,high
