CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Credit_limit,Credit_Utilization_rate
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,23989.0,8.774053512543306
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,14778.0,11.089995927786072
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,34554.0,4.389268744929888
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,6636.0,27.597205346294047
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,2104.0,70.44145873320538
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,1719.0,65.61944279786603
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,25338.0,5.256916996047431
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,34558.0,5.107776103835902
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,2258.0,46.66064981949459
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,2953.0,69.7594501718213
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,22950.0,6.668703356173351
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,24347.0,7.946692991115499
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,5308.0,28.736722306525035
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,7036.0,35.95714285714286
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,7067.0,25.589656152316
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,2566.0,71.88485804416403
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,28942.0,6.570024910047052
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,8604.0,19.785222364888526
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,34552.0,4.441418472592421
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2203.0,0.0
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,10185.0,13.984012631994474
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,34551.0,3.531695445590451
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,3132.0,61.912479740680716
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,19075.0,10.798319327731093
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4061.0,0.0
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,12787.0,6.561618062088429
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5311.0,0.0
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9966.0,0.0
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,31340.0,6.2392179413456015
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6612.0,0.0
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,2706.0,76.46396396396396
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,2563.0,96.25246548323472
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,1761.0,52.369806904622585
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,3489.0,34.74232773595831
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,3824.0,45.02507257851676
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,9739.0,23.222210754463827
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,5486.0,29.877041659020005
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960,23075.0,8.509899270580062
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,34550.0,5.947966160621161
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,2974.0,42.993197278911566
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,3063.0,61.99274166941603
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,1887.0,0.0
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,8391.0,11.07920555156736
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931,34552.0,2.697299802989918
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,14486.0,16.885813148788927
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1494.3,0.0
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960,33827.0,5.80036104288124
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,8505.0,22.277344672808884
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,15124.0,5.733032873806999
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,3299.0,51.30248237817959
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,1530.0,47.25568942436412
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,13586.0,9.549110766733083
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,18922.0,4.738960076246956
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,12024.0,10.629592518370073
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,10003.0,15.646326776395023
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196,24195.0,4.950536032120534
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,5406.0,35.45318910854159
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023,34552.0,2.9638428554873104
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,3210.0,61.46817895400126
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,12309.0,14.973087587669223
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,3829.0,40.65469904963041
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,34558.0,4.4240352300382435
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,2962.0,0.0
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0,32142.0,0.0
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,11710.0,19.084754477675894
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,13577.0,9.606857818504286
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,11924.0,17.580753701211304
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,2429.0,82.95027162557459
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,6150.0,41.18802160039273
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,19316.0,8.62480539699014
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,3753.0,67.84366576819407
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,3272.0,24.63678516228748
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788,11787.0,6.7069537833007065
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,7789.0,27.08628917838256
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0,1186,10448.0,11.395080707148347
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967.0,1568,4003.0,39.52609024451727
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0,2517,6232.0,40.56406124093473
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0,0,8063.0,0.0
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0,2327,9078.0,25.752545374059316
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0,2517,14960.0,16.863191745946672
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,1128,6371.0,17.80584056827151
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,0,15032.0,0.0
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,0,2770.0,0.0
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250.0,2117,2282.0,94.08888888888889
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0,1536,10966.0,14.071088310736535
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349.0,1228,5385.0,22.957562161151618
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0,1104,9390.0,11.787315823190262
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0,0,21645.0,0.0
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860.0,1652,13916.0,11.91919191919192
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,0,18417.0,0.0
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405.0,1540,2446.0,64.03326403326403
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154.0,930,2201.0,43.17548746518106
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038.0,0,2074.0,0.0
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135.0,0,8173.0,0.0
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364.0,618,9402.0,6.599743699273815
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,32643.0,0,32678.0,0.0
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195.0,1954,3229.0,61.158059467918626
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852.0,1024,2895.0,35.90462833099579
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,3,3,4224.0,1305,4260.0,30.894886363636363
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459.0,2071,20495.0,10.122684393176597
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482.0,2114,3523.0,60.712234348075825
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065.0,1570,3105.0,51.22349102773246
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185.0,1761,2228.0,80.59496567505721
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611.0,746,1647.0,46.3066418373681
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822.0,2173,2869.0,77.00212615166548
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975.0,2517,33008.0,7.633055344958302
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3,0,1485.3,0.0
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,3,15875.0,1719,15911.0,10.828346456692914
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,3,6703.0,893,6748.0,13.322392958376847
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212.0,0,3248.0,0.0
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1,3,34516.0,1260,34561.0,3.6504809363773325
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1,2,9797.0,1434,9833.0,14.637133816474432
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400.0,1777,10436.0,17.08653846153846
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792.0,1836,26834.0,6.852791878172589
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006.0,2517,3062.0,83.73253493013972
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482.0,1072,19518.0,5.502515142182528
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356.0,985,3392.0,29.350417163289634
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771.0,2248,5805.0,38.95338762779414
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0,2107,11142.0,18.97172699441743
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890.0,2001,2944.0,69.2387543252595
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380.0,1701,3425.0,50.32544378698225
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331.0,1251,21367.0,5.864703951994749
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,6,2,1,12860.0,0,12898.0,0.0
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,0,6278.0,462,6311.0,7.359031538706594
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,5,1,3,1438.3,738,1493.3,51.310574984356535
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,5,1,2,9355.0,1626,9391.0,17.381079636557992
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758.0,0,20789.0,0.0
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,1,14612.0,1976,14659.0,13.523131672597867
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,5,2,0,27259.0,0,27286.0,0.0
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347.0,1594,6394.0,25.114227193949894
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592.0,1676,21633.0,7.7621341237495365
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449.0,1598,3493.0,46.33227022325312
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,2,1,2,6028.0,799,6062.0,13.25481088254811
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,3,2,3,18214.0,1998,18250.0,10.969583836609202
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,16393.0,1423,16436.0,8.68053437442811
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3,900,1490.3,62.57387193214211
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,4,1,2,7871.0,1687,7907.0,21.433108880701308
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5,3,0,5288.0,866,5324.0,16.376701966717093
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5,3,11376.0,2006,11408.0,17.633614627285514
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,4,5,3,12302.0,1632,12343.0,13.266135587709316
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2,1,34516.0,1679,34549.0,4.864410708077414
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,2,34516.0,1468,34548.0,4.253100011588828
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514.0,1580,10549.0,15.02758227125737
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,3,1438.3,0,1481.3,0.0
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,3,1438.3,0,1484.3,0.0
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1,2,2619.0,1779,2675.0,67.92668957617411
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,2,3,0,24407.0,2395,24460.0,9.81275863481788
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2,2377.0,1649,2413.0,69.37315944467817
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,3,2,3,34516.0,1359,34556.0,3.9373044385212657
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,3,11086.0,2207,11133.0,19.907992062060256
