Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Avg_Utilization_Ratio,Age_Bin,Churn,Attrition_Flag_Churned,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
Existing Customer,44,3,34,2,10100.0,0,0.525,1052,0.0,40-45,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Existing Customer,47,4,42,0,4785.0,1362,0.739,1045,0.285,45-50,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,53,3,33,2,2753.0,1811,0.977,1038,0.658,50-55,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,53,2,48,5,2451.0,1690,1.323,1596,0.69,50-55,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,41,4,36,1,8923.0,2517,1.726,1589,0.282,40-45,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,53,2,38,2,2650.0,1490,1.75,1411,0.562,50-55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,58,0,49,2,12555.0,1696,0.519,1291,0.135,55-60,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,55,1,36,2,3520.0,1914,0.51,1407,0.544,50-55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,55,3,36,2,3035.0,2298,1.724,1877,0.757,50-55,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,42,4,36,3,15433.0,0,0.865,966,0.0,40-45,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Existing Customer,57,1,49,3,3672.0,886,1.32,1464,0.241,55-60,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Attrited Customer,66,0,56,4,7882.0,605,1.052,704,0.077,60+,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Existing Customer,45,3,41,2,32426.0,578,1.042,1109,0.018,40-45,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,51,2,44,1,6205.0,2204,0.803,1347,0.355,50-55,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,50,1,43,2,17304.0,2517,1.449,1756,0.145,45-50,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Existing Customer,49,3,37,2,3906.0,0,1.214,1756,0.0,45-50,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,38,4,28,3,9830.0,2055,0.977,1042,0.209,35-40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Existing Customer,49,4,30,2,34516.0,0,1.621,1444,0.0,45-50,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,56,2,45,2,2283.0,1430,2.316,1741,0.626,55-60,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,59,1,52,2,2548.0,2020,2.357,1719,0.793,55-60,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,46,3,40,3,19458.0,1435,0.787,1217,0.074,45-50,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,52,1,40,1,4745.0,1227,0.624,1140,0.259,50-55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,52,3,41,3,2622.0,1549,1.321,1878,0.591,50-55,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Attrited Customer,54,1,40,3,1438.3,808,0.997,705,0.562,50-55,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,66,0,54,4,3171.0,2179,1.224,1946,0.687,60+,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,49,2,36,2,19763.0,2517,0.664,1414,0.127,45-50,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Attrited Customer,56,2,36,3,15769.0,0,1.041,602,0.0,55-60,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Existing Customer,49,4,36,4,3298.0,2200,0.678,1052,0.667,45-50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Existing Customer,49,3,36,2,2802.0,2363,0.75,1295,0.843,45-50,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,56,2,50,2,4458.0,1880,1.107,1424,0.422,55-60,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,44,5,35,1,6273.0,978,2.275,1359,0.156,40-45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Existing Customer,42,2,34,4,3336.0,1753,0.69,1168,0.525,40-45,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Existing Customer,55,3,47,2,3436.0,2016,0.901,1097,0.587,50-55,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Attrited Customer,48,2,35,4,34516.0,0,0.763,691,0.0,45-50,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Existing Customer,39,1,33,3,5926.0,1251,0.944,1316,0.211,35-40,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Existing Customer,44,4,32,4,23957.0,2102,0.997,1276,0.088,40-45,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Existing Customer,53,2,44,2,14734.0,1634,0.989,1289,0.111,50-55,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Existing Customer,51,4,38,1,34516.0,1515,0.592,1293,0.044,50-55,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Existing Customer,57,2,52,3,6584.0,1817,0.62,1353,0.276,55-60,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,44,2,20,3,2084.0,1468,1.004,1132,0.704,40-45,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,49,2,32,2,1687.0,1107,1.715,1670,0.656,45-50,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,50,2,38,2,25300.0,1330,1.072,837,0.053,45-50,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,51,4,42,2,34516.0,1763,1.266,1550,0.051,50-55,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Existing Customer,55,2,42,3,2216.0,1034,0.758,1540,0.467,50-55,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,54,1,43,2,2910.0,2030,0.769,1256,0.698,50-55,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Existing Customer,42,5,37,2,22913.0,1528,0.414,1394,0.067,40-45,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,44,1,35,3,24312.0,1932,1.312,1341,0.079,40-45,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Existing Customer,53,2,36,3,5272.0,1515,0.857,1289,0.287,50-55,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,44,4,36,4,7000.0,2517,0.475,1112,0.36,40-45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,37,3,29,4,7038.0,1801,0.751,2339,0.256,35-40,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,49,3,30,1,2536.0,1823,0.703,1468,0.719,45-50,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Existing Customer,47,2,38,3,28904.0,1899,0.85,1334,0.066,45-50,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,47,3,37,4,8567.0,1695,1.242,1457,0.198,45-50,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,44,1,36,2,34516.0,1533,0.924,1603,0.044,40-45,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Attrited Customer,55,4,45,4,2158.0,0,0.585,615,0.0,50-55,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,59,1,52,3,10133.0,1417,0.383,1068,0.14,55-60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Existing Customer,53,1,35,4,34516.0,1219,1.129,1590,0.035,50-55,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Existing Customer,52,2,47,3,3085.0,1910,0.921,1531,0.619,50-55,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,53,2,35,2,19040.0,2056,0.607,1212,0.108,50-55,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Existing Customer,43,3,35,2,4026.0,0,0.483,1237,0.0,40-45,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,44,3,31,3,12756.0,837,1.932,1413,0.066,40-45,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Existing Customer,57,2,45,3,5266.0,0,1.702,1516,0.0,55-60,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Existing Customer,51,2,36,2,9930.0,0,0.731,1276,0.0,50-55,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,49,4,38,3,31302.0,1953,0.875,1564,0.062,45-50,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,45,1,36,4,6576.0,0,0.579,1465,0.0,40-45,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Existing Customer,53,0,42,4,2664.0,2037,0.85,1286,0.765,50-55,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,45,3,28,1,2535.0,2440,1.705,1312,0.963,40-45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Existing Customer,64,1,52,4,1709.0,895,1.656,1673,0.524,60+,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,45,3,35,4,3454.0,1200,0.597,1313,0.347,40-45,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,53,3,35,3,3789.0,1706,1.047,1609,0.45,50-55,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,56,3,50,2,9689.0,2250,0.576,1158,0.232,55-60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Attrited Customer,47,2,37,3,5449.0,1628,0.696,836,0.299,45-50,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,49,3,43,4,23032.0,1960,0.619,1289,0.085,45-50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Existing Customer,41,3,34,3,34516.0,2053,1.034,1487,0.059,40-45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
Existing Customer,53,3,34,2,2940.0,1264,0.562,1259,0.43,50-55,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Existing Customer,44,2,32,3,3031.0,1879,0.788,1298,0.62,40-45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,44,3,25,3,1862.0,0,0.883,1226,0.0,40-45,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Existing Customer,43,4,33,3,8358.0,926,0.762,1566,0.111,40-45,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,53,2,36,1,34516.0,931,0.828,1022,0.027,50-55,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Existing Customer,44,1,36,2,14450.0,2440,1.283,1235,0.169,40-45,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,62,1,56,0,1438.3,0,0.813,1951,0.0,60+,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,54,4,36,3,33791.0,1960,0.618,1047,0.058,50-55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Existing Customer,57,4,39,3,8466.0,1886,0.56,1342,0.223,55-60,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,42,3,36,3,15088.0,865,0.939,1107,0.057,40-45,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,42,4,36,1,3263.0,1674,0.588,1251,0.513,40-45,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Existing Customer,54,0,36,2,1494.0,706,1.674,1305,0.473,50-55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,48,3,35,1,13551.0,1294,0.791,1388,0.095,45-50,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,49,1,36,2,18886.0,895,1.826,1235,0.047,45-50,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,52,3,48,2,11976.0,1273,1.024,2089,0.106,50-55,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Existing Customer,50,3,39,1,9964.0,1559,1.873,1626,0.156,45-50,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,49,1,36,6,24159.0,1196,0.712,1111,0.05,45-50,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,53,2,44,2,5362.0,1901,0.816,1553,0.355,50-55,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,50,2,36,2,34516.0,1023,1.004,1064,0.03,45-50,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Existing Customer,55,1,36,1,3174.0,1951,0.766,1243,0.615,50-55,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,53,1,47,2,12262.0,1836,1.584,1659,0.15,50-55,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,47,3,41,3,3788.0,1540,0.566,1594,0.407,45-50,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Existing Customer,55,2,42,3,34516.0,1527,0.526,1268,0.044,50-55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Existing Customer,47,3,36,2,2926.0,0,0.676,1304,0.0,45-50,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Existing Customer,58,4,52,1,32090.0,0,0.567,1368,0.0,55-60,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Attrited Customer,53,2,41,3,11669.0,2227,0.622,720,0.191,50-55,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,52,2,45,1,13532.0,1300,0.846,1521,0.096,50-55,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Existing Customer,50,1,36,2,11888.0,2090,0.7,1137,0.176,45-50,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Existing Customer,42,1,36,1,2393.0,1985,0.788,978,0.83,40-45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,43,4,39,1,6111.0,2517,0.632,1221,0.412,40-45,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,57,4,46,2,19270.0,1662,1.186,1565,0.086,55-60,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,52,1,43,1,3710.0,2517,1.541,1578,0.678,50-55,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,47,2,37,1,3235.0,797,0.541,1493,0.246,45-50,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,44,3,38,1,11749.0,788,0.688,1178,0.067,40-45,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Existing Customer,53,2,36,3,7753.0,2100,0.839,991,0.271,50-55,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Existing Customer,45,4,40,1,10408.0,1186,1.689,2560,0.114,40-45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Existing Customer,63,1,36,2,3967.0,1568,1.236,1657,0.395,60+,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Existing Customer,39,2,27,2,6205.0,2517,0.939,1204,0.406,35-40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Attrited Customer,48,5,38,3,8025.0,0,0.654,673,0.0,45-50,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,51,1,42,2,9036.0,2327,0.649,1131,0.258,50-55,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Existing Customer,54,4,34,3,14926.0,2517,1.996,1576,0.169,50-55,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,59,1,36,2,6335.0,1128,0.397,1217,0.178,55-60,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Attrited Customer,59,1,53,3,14979.0,0,0.71,530,0.0,55-60,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Attrited Customer,48,4,38,2,2732.0,0,0.76,739,0.0,45-50,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,41,2,32,3,2250.0,2117,1.162,1617,0.941,40-45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,55,2,50,2,10916.0,1536,1.317,1592,0.141,50-55,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Existing Customer,47,4,36,1,5349.0,1228,0.728,1343,0.23,45-50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Existing Customer,41,2,24,1,9366.0,1104,0.572,1303,0.118,40-45,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,40,3,28,1,21617.0,0,1.047,1351,0.0,35-40,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,68,1,56,2,13860.0,1652,1.255,1910,0.119,60+,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Existing Customer,50,1,31,2,18386.0,0,0.868,1298,0.0,45-50,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Existing Customer,47,4,41,2,2405.0,1540,0.469,1087,0.64,45-50,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Existing Customer,53,1,47,2,2154.0,930,2.121,1439,0.432,50-55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,42,5,36,3,2038.0,0,0.786,1238,0.0,40-45,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,48,4,38,1,8135.0,0,1.373,1716,0.0,45-50,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Existing Customer,49,1,38,1,9364.0,618,0.554,1099,0.066,45-50,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Existing Customer,44,2,35,3,32643.0,0,1.3,1058,0.0,40-45,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
Existing Customer,43,4,34,3,3195.0,1954,0.971,1285,0.612,40-45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Existing Customer,56,0,43,2,2852.0,1024,1.009,1651,0.359,55-60,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,59,1,36,3,4224.0,1305,0.852,1152,0.309,55-60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Existing Customer,46,1,36,2,20459.0,2071,1.248,1767,0.101,45-50,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,47,4,41,5,3482.0,2114,0.508,1039,0.607,45-50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Existing Customer,50,4,40,2,3065.0,1570,1.077,1130,0.512,45-50,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,51,3,43,1,2185.0,1761,0.682,1645,0.806,50-55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,47,3,36,1,1611.0,746,0.993,1413,0.463,45-50,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,58,4,47,3,2822.0,2173,1.456,1218,0.77,55-60,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Attrited Customer,46,5,33,3,32975.0,2517,0.658,597,0.076,45-50,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,53,3,47,2,1438.3,0,0.776,2184,0.0,50-55,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,45,4,36,3,15875.0,1719,0.86,1592,0.108,40-45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
